Category,Ingredient (simplified name),Serving Qty,Serving Unit,Notes
Free,Red Wine Vinegar,,,
Free,Relish,1,tbsp,sweet pickle
Starch,Rice (white/brown),0.33,cup,"brown/black/basmati/jasmine, cooked"
Starch,Rice (wild),0.33,cup,"wild, cooked"
Starch,Rice cakes,2,each,
Protein,Ricotta cheese,0.25,cup,reduced fat or fat free
Free,Roasted red peppers,,,
Starch,Ryvita crisp bread,2,each,
Protein,Salmon,1.5,oz,cooked or canned solids
Free,Sauerkraut,2,tbsp,<20 cal
Vegetable,Scallions,0.5,cup,
Protein,Seitan,1.5,oz,
Fat,Sesame oil,1,tsp,
Vegetable,Shallot,0.5,cup,
Free,Sherry Vinegar,,,
Milk,Shredded Cheese,1,oz,
Starch,Shredded Wheat,0.5,cup,"plain, not frosted"
Protein,Shrimp,2,oz,cooked
Starch,Small Baguette,0.5,each,
Fat,Sour Cream,1,tbsp,
Free,Southern Spice Blend,,,
Milk,Soy milk,1,cup,unsweetened
Free,Soy sauce,1,tbsp,
Vegetable,Spaghetti squash,0.5,cup,cooked
Vegetable,Spinach ,2,cup,
Vegetable,Spinach (cooked),0.5,cup,cooked
Protein,Spirulina,1,tbsp,
Starch,Steel cut oats (cooked),0.25,cup,cooked
Starch,Steel cut oats (uncooked),0.125,cup,uncooked
Fruit,Strawberries,1,cup,sliced
Free,Strawberries,0.33,cup,raw sliced. <20 cal
Starch,Succotash,0.5,cup,frozen
Starch,Sugar,1,tsp,
Vegetable,Summer squash,0.5,cup,
Fat,Sunflower seeds,1,tbsp,
Free,Sweet & Smoky Spice Blend,,,
Starch,Sweet potato,0.5,cup,or Sweet potato
Free,Taco sauce,2,tsp,
Fat,Tahini,1,tbsp,
Fruit,Tangerine,1,cup,
Protein,Tempeh,0.25,cup,bean curd
Protein,Tofu,4,oz,firm
Vegetable,Tomato,1,cup,raw
Vegetable,Tomato (grape),1,cup,
Vegetable,Tomato juice,0.5,cup,
Free,Tomato Paste,2,tbsp,
Free,Tomato Sauce,0.25,cup,
Vegetable,Tomatoes (diced),8,oz,
Starch,Tortilla,1,each,or tortilla
Starch,Tortilla (corn),1,each,corn
Starch,Triscuits,4,each,original
Protein,Trout,1,oz,"cooked, or salmon"
Protein,Tuna (canned),2,oz,"canned in water/oil, drained"
Protein,Tuna (cooked),2,oz,"fresh, cooked"
Protein,Turkey,1.5,oz,"skinless, cooked, white/dark/ground 93–99% lean"
Protein,Turkey (ground),1,oz,
Vegetable,Turnip greens,0.5,cup,
Fat,Tzatiziki,0.25,cup,
Protein,Veal cutlet,1,oz,"lean, cooked"
Vegetable,Veg juice,0.5,cup,low sodium
Starch,Vegetables mixed,1,cup,"peas, corn, carrots"
Protein,Venison,2,oz,"cooked, ground"
Free,Vinegar,1,tbsp,
Starch,Waffle,1,each,wholegrain
Fat,Walnuts,2,each,
Starch,Wasa crisp bread,2,each,any
Vegetable,Watercress,2,cup,
Fruit,Watermelon,1,cup,cubed
Free,Weeknight Hero Spice Blend,,,
Fat,Whipped cream,2,tbsp,
Protein,White fish,1.5,oz,"cooked, tilapia, flounder"
Free,Whole Dried Oregano,,,
Starch,Winter squash,1,cup,"butternut, acorn"
Free,Worcestershire Sauce,,,
Milk,Yogurt (low fat),6,oz,low fat
Milk,"Yogurt (nonfat, plain)",6,oz,"nonfat, plain"
Free,Za'atar seasoning,,,
Vegetable,Zucchini,1,cup,
